date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:13	9962/9962	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:43:12%20GMT	http://www.badaramdwara.org/booking.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/booking.html	(from http://www.badaramdwara.org/)
16:43:14	69405/69405	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2012:00:22%20GMT	http://www.badaramdwara.org/images/gallery/f2.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/gallery/f2.jpg	(from http://www.badaramdwara.org/)
16:43:15	10728/10728	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:43:13%20GMT	http://www.badaramdwara.org/bhagwat.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/bhagwat.html	(from http://www.badaramdwara.org/)
16:43:15	10234/10234	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:43:14%20GMT	http://www.badaramdwara.org/suvichar.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/suvichar.html	(from http://www.badaramdwara.org/)
16:43:17	12443/12443	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202017%2016:43:15%20GMT	http://www.badaramdwara.org/activity.php	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/activity.html	(from http://www.badaramdwara.org/)
16:43:23	30357/30357	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:26%20GMT	http://www.badaramdwara.org/images/flickr/book1.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book1.jpg	(from http://www.badaramdwara.org/)
16:43:24	305770/305770	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2013:21:18%20GMT	http://www.badaramdwara.org/images/slider/slider-img-4.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/slider/slider-img-4.jpg	(from http://www.badaramdwara.org/)
16:43:31	30373/30373	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:32%20GMT	http://www.badaramdwara.org/images/flickr/book3.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book3.jpg	(from http://www.badaramdwara.org/)
16:45:08	758669/758669	---M--	200	added ('OK')	application/x-shockwave-flash	date:Tue,%2014%20Jan%202014%2010:42:18%20GMT	http://www.badaramdwara.org/preview.swf	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/preview.swf	(from http://www.badaramdwara.org/)
16:45:13	26571/26571	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202014%2011:46:42%20GMT	http://www.badaramdwara.org/images/flickr/book8.jpg	C:/My%20Web%20Sites/Ramdwara%20OLD%20Site/www.badaramdwara.org/images/flickr/book8.jpg	(from http://www.badaramdwara.org/)
